LOCATIONTYPE;LOCATIONCODE
STATION;MDC08(CD)
STATION;MDC09(CD)
STATION;MDC10(CD)
STATION;MDC11(CD)
STATION;MDC12(CD)
STATION;MDC13(CD)
STATION;MDC14(CD)
STATION;MDC15(CD)
STATION;MDC16(CD)
STATION;MDC17(CD)
STATION;MDC18(CD)
STATION;MDC19(CD)
STATION;MDC20(CD)
STATION;MDC21(CD)
STATION;MDC22(CD)
STATION;MDC23(CD)
STATION;MDC24(CD)
STATION;MDC25(CD)
STATION;MDC26(CD)
STATION;MDC27(CD)
STATION;MDC28(CD)
STATION;MDC29(CD)
STATION;MDC30(CD)
STATION;MDC31(CD)
STATION;MDC32(CD)
STATION;MDC33(CD)
STATION;MDC34(CD)
STATION;MDC35(CD)
STATION;MDC36(CD)
STATION;MDC37(CD)
STATION;MDC38(CD)
STATION;MDC39(CD)
STATION;MDC40(CD)
STATION;MDC41(CD)
STATION;MDC42(CD)
STATION;MDC43(CD)
STATION;MDC44(CD)
STATION;MDC45(CD)
STATION;MDC46(CD)
STATION;MDC47(CD)
STATION;MDC48(CD)
STATION;MDC49(CD)
STATION;MDC50(CD)
STATION;MDC51(CD)
STATION;MDC52(CD)
STATION;MDC53(CD)
STATION;MDC54(CD)
STATION;MDC55(CD)
STATION;MDC56(CD)
STATION;MONSC01
STATION;OTP/03
STATION;OTPDS
STATION;PGL/03
STATION;PGL/W12
STATION;PGL/W23
STATION;PGL/W34
STATION;PGL/W45
STATION;PGL/W56
STATION;PGL/W67
STATION;PGL/W7T
STATION;PGL/WT1
STATION;PGLDS
STATION;PTPDS
STATION;RO01
STATION;RO02
STATION;RTSDG02
STATION;RTSDG04
STATION;RTSDG06
STATION;RTSDG08
STATION;RTSDG09
STATION;RTSDG11
STATION;RTSDG13
STATION;RTSDG15
STATION;RTSDG17
STATION;RTSDG18
STATION;RTSDG19
STATION;RTSDG21
STATION;RTSDG23
STATION;RTSDG25
STATION;RTSDG27
STATION;RTSDG29
STATION;RTSSDG02
STATION;RTSSDG04
STATION;RTSSDG06
STATION;RTSSDG08
STATION;RTSSDG09
STATION;RTSSDG11
STATION;RTSSDG13
STATION;RTSSDG15
STATION;RTSSDG17
STATION;RTSSDG18
STATION;RTSSDG19
STATION;RTSSDG21
STATION;RTSSDG23
STATION;RTSSDG25
STATION;RTSSDG27
STATION;RTSSDG29
STATION;SBS01
STATION;SC05
STATION;SC06
STATION;SC08
STATION;SC09
STATION;SC10
STATION;SC11
STATION;SC12
STATION;SC13
STATION;SC14
STATION;SC15
STATION;SC17
STATION;SC18
STATION;SC19
STATION;SC20
STATION;SC21
STATION;SC22
STATION;SE6
STATION;SE7
STATION;SERDS
STATION;SGP
STATION;SKG/03
STATION;SKG/E12
STATION;SKG/E23
STATION;SKG/E34
STATION;SKG/E45
STATION;SKG/E5T
STATION;SKG/ET1
STATION;SKG/M1
STATION;SKG/MWV
STATION;SKGDS
STATION;SW04
STATION;WLH/02
STATION;WLHDS
STATION;WSSC01
TUNTRK;
TUNTRK;101N/N
TUNTRK;102N/N
TUNTRK;103N/N
TUNTRK;104N/N
TUNTRK;105N/N
TUNTRK;106N/N
TUNTRK;107N/N
TUNTRK;108N/N
TUNTRK;109N/N
TUNTRK;110N/N
TUNTRK;111N/N
TUNTRK;112N/N
TUNTRK;113N/N
TUNTRK;114N/N
TUNTRK;115N/N
TUNTRK;116N/N
TUNTRK;117N/N
TUNTRK;118N/N
TUNTRK;119N/N
TUNTRK;120N/N
TUNTRK;121N/N
TUNTRK;122N/N
TUNTRK;123N/N
TUNTRK;124N/N
TUNTRK;125N/N
TUNTRK;126N/N
TUNTRK;127N/N
TUNTRK;128N/N
TUNTRK;129N/N
TUNTRK;130N/N
TUNTRK;131N/N
TUNTRK;132N/N
TUNTRK;133N/N
TUNTRK;201S/S
TUNTRK;202S/S
TUNTRK;203S/S
TUNTRK;204S/S
TUNTRK;205S/S
TUNTRK;206S/S
TUNTRK;207S/S
TUNTRK;208S/S
TUNTRK;209S/S
TUNTRK;210S/S
TUNTRK;211S/S
TUNTRK;212S/S
TUNTRK;213S/S
TUNTRK;214S/S
TUNTRK;215S/S
TUNTRK;216S/S
TUNTRK;217S/S
TUNTRK;218S/S
TUNTRK;219S/S
TUNTRK;220S/S
TUNTRK;221S/S
TUNTRK;222S/S
TUNTRK;223S/S
TUNTRK;224S/S
TUNTRK;225S/S
TUNTRK;226S/S
TUNTRK;227S/S
TUNTRK;228S/S
TUNTRK;229S/S
TUNTRK;230S/S
TUNTRK;231S/S
TUNTRK;232S/S
TUNTRK;233S/S
TUNTRK;315M
TUNTRK;315M/N
TUNTRK;315M/S
TUNTRK;321M
TUNTRK;321M/N
TUNTRK;321M/S
TUNTRK;333C
TUNTRK;801
TUNTRK;802
TUNTRK;803
TUNTRK;BGK/NB
TUNTRK;BGK/SB
TUNTRK;BNK/NB
TUNTRK;BNK/SB
TUNTRK;C08
TUNTRK;C11
TUNTRK;C17
TUNTRK;CNT/NB
TUNTRK;CNT/SB
TUNTRK;CQY/NB
TUNTRK;CQY/SB
TUNTRK;DBG/NB
TUNTRK;DBG/SB
TUNTRK;FRP/NB
TUNTRK;FRP/SB
TUNTRK;HBF/NB
TUNTRK;HBF/SB
TUNTRK;HGN/NB
TUNTRK;HGN/SB
TUNTRK;KVN/NB
TUNTRK;KVN/SB
TUNTRK;LTI/NB
TUNTRK;LTI/SB
TUNTRK;N01
TUNTRK;N03
TUNTRK;N04
TUNTRK;N05
TUNTRK;N07
TUNTRK;N09
TUNTRK;N13
TUNTRK;N14
TUNTRK;N15
TUNTRK;N17
TUNTRK;N21
TUNTRK;NB/N 
TUNTRK;OTP/NB
TUNTRK;OTP/SB
TUNTRK;PGL/NB
TUNTRK;PGL/OR
TUNTRK;PGL/SB
TUNTRK;PL
TUNTRK;PTP/NB
TUNTRK;PTP/SB
TUNTRK;S01
TUNTRK;S06
TUNTRK;S08
TUNTRK;S09
TUNTRK;SB/S 
TUNTRK;SER/NB
TUNTRK;SER/SB
TUNTRK;SKG/NB
TUNTRK;SKG/SB
TUNTRK;WLH/NB
TUNTRK;WLH/SB
VIADTRK;CS
VIADTRK;GS
VIADTRK;IL
VIADTRK;NE
VIADTRK;OL
VIADTRK;SE
