ID;PACKAGE_NAME;LOG_ID;EVENT;EVENT_TYPE;EVENT_DESCRIPTION;TIMESTAMP
1537;DB2_0303_PO_PR_PRLine_PRCost_CLEAN;1124;PRLINE;NOMATCH-COSTCENTER;CNT= 0;2024-12-20-04.08.29.354000
1538;DB2_0303_PO_PR_PRLine_PRCost_CLEAN;1124;PRLINE;NOMATCH-SAPGL;CNT= 158;2024-12-20-04.08.29.620000
1539;DB2_0303_PO_PR_PRLine_PRCost_CLEAN;1124;PRLINE;MIGRATED;CNT=94052;2024-12-20-04.10.05.843000
1540;DB2_0303_PO_PR_PRLine_PRCost_CLEAN;1124;PRLINE;NOMATCH-ITEM;CNT= 0;2024-12-20-04.10.05.843000
1541;DB2_0304_PO_RFQ_RFQLine_CLEAN;1125;RFQ;MIGRATED;CNT=162306;2024-12-20-04.14.45.437000
1543;DB2_0304_PO_RFQ_RFQLine_CLEAN;1125;RFQLINE;NOMATCH-COSTCENTER;CNT= 0;2024-12-20-04.17.35.268000
1544;DB2_0304_PO_RFQ_RFQLine_CLEAN;1125;RFQLINE;NOMATCH-SAPGL;CNT= 929;2024-12-20-04.18.58.682000
1545;DB2_0304_PO_RFQ_RFQLine_CLEAN;1125;RFQLINE;MIGRATED;CNT=294452;2024-12-20-04.21.06.153000
1546;DB2_0304_PO_RFQ_RFQLine_CLEAN;1125;RFQLINE;NOMATCH-ITEM;CNT= 0;2024-12-20-04.21.06.185000
1548;DB2_0305_PO_RFQVendor_QuotationLine_CLEAN;1126;RFQVENDOR;MIGRATED;CNT=118017;2024-12-20-04.23.32.064000
1553;DB2_0305_PO_RFQVendor_QuotationLine_CLEAN;1126;QUOTATIONLINE;MIGRATED;CNT=218012;2024-12-20-04.29.03.450000
1559;DB2_0306_PO_PO_POLine_POCost_CLEAN;1128;PO;NOMATCH-REQBY;CNT= 652;2024-12-20-04.30.31.606000
1560;DB2_0306_PO_PO_POLine_POCost_CLEAN;1128;PO;MIGRATED;CNT=53488;2024-12-20-04.31.07.755000
1561;DB2_0306_PO_PO_POLine_POCost_CLEAN;1128;POLINE;NOMATCH-AMDBY;CNT= 7648;2024-12-20-04.32.24.515000
1562;DB2_0306_PO_PO_POLine_POCost_CLEAN;1128;POLINE;NOMATCH-COSTCENTER;CNT= 0;2024-12-20-04.32.25.441000
1563;DB2_0306_PO_PO_POLine_POCost_CLEAN;1128;POLINE;NOMATCH-SAPGL;CNT= 106;2024-12-20-04.32.25.646000
1570;DB2_0306_PO_PO_POLine_POCost_CLEAN;1128;POLINE;MIGRATED;CNT=80951;2024-12-20-04.34.28.661000
1571;DB2_0306_PO_PO_POLine_POCost_CLEAN;1128;POLINE;NOMATCH-ITEM;CNT= 0;2024-12-20-04.34.28.708000
1580;DB2_0307_PO_Invoice_InvoiceLine_InvoiceCost_CLEAN;1130;INVOICE;NOMATCH-REQBY;CNT= 798;2024-12-20-04.41.37.064000
1581;DB2_0307_PO_Invoice_InvoiceLine_InvoiceCost_CLEAN;1130;INVOICE;MIGRATED;CNT=72402;2024-12-20-04.42.25.843000
1582;DB2_0307_PO_Invoice_InvoiceLine_InvoiceCost_CLEAN;1130;INVOICE (NEG-INV);MIGRATED;CNT=1521;2024-12-20-04.43.35.813000
1583;DB2_0307_PO_Invoice_InvoiceLine_InvoiceCost_CLEAN;1130;INVOICELINE;NOMATCH-REQBY;CNT= 1145;2024-12-20-04.44.20.844000
1584;DB2_0307_PO_Invoice_InvoiceLine_InvoiceCost_CLEAN;1130;INVOICELINE;NOMATCH-ITEM;CNT=0;2024-12-20-04.45.47.714000
1585;DB2_0307_PO_Invoice_InvoiceLine_InvoiceCost_CLEAN;1130;INVOICELINE;MIGRATED;CNT=97309;2024-12-20-04.45.47.714000
1586;DB2_0307_PO_Invoice_InvoiceLine_InvoiceCost_CLEAN;1130;INVOICECOST;NOMATCH-COSTCENTER;CNT= 0;2024-12-20-04.46.47.128000
