ID;PACKAGE_NAME;LOG_ID;EVENT;EVENT_TYPE;EVENT_DESCRIPTION;TIMESTAMP
1963;DB2_0307_PO_Invoice_InvoiceLine_InvoiceCost_CLEAN;1260;INVOICECOST;MIGRATED;CNT=98301;2024-12-01-15.41.34.870000
1969;DB2_0308_PO_MATRECTRANS_CLEAN;1261;MATRECTRANS;NOMATCH-ITEM;CNT=0;2024-12-01-15.45.28.274000
1970;DB2_0308_PO_MATRECTRANS_CLEAN;1261;MATRECTRANS;MIGRATED;CNT=92034;2024-12-01-15.45.28.352000
1971;DB2_0308_PO_MATRECTRANS_CLEAN;1261;SERVRECTRANS;MIGRATED;CNT=27380;2024-12-01-15.45.28.383000
1972;DB2_0309_PO_ContractPurch_CLEAN;1262;CONTRACTPURCH (PRICE);MIGRATED;CNT=98;2024-12-01-15.46.02.070000
1973;DB2_0309_PO_ContractPurch_CLEAN;1262;CONTRACTPURCH (BLANKET);MIGRATED;CNT=5;2024-12-01-15.46.04.414000
1974;DB2_0311_PO_MATRECTRANS_TR_ITEMS_;1263;MATRECTRANS (TR_ITEMS);NOMATCH-ITEM;CNT=0;2024-12-01-15.46.22.851000
1975;DB2_0311_PO_MATRECTRANS_TR_ITEMS_;1263;MATRECTRANS (TR_ITEMS);MIGRATED;CNT=34953;2024-12-01-15.46.22.867000
1870;DB2_0401_WO_Workorder_CLEAN;1233;WORKORDER (ROUTE);NOMATCH-MAINTENTITY;CNT= 396;2024-12-01-13.58.58.398000
1871;DB2_0401_WO_Workorder_CLEAN;1233;WORKORDER (ROUTE);NOMATCH-REPBY;CNT= 2550;2024-12-01-13.58.59.182000
1874;DB2_0401_WO_Workorder_CLEAN;1233;WORKORDER (ROUTE);NOMATCH-COSTCENTER;CNT= 0;2024-12-01-14.05.49.313000
1875;DB2_0401_WO_Workorder_CLEAN;1233;WORKORDER (ROUTE);MIGRATED;CNT=158517;2024-12-01-14.08.01.803000
1876;DB2_0401_WO_Workorder_CLEAN;1233;WORKORDER;NOMATCH-MAINTENTITY;CNT= 0;2024-12-01-14.08.29.539000
1883;DB2_0401_WO_Workorder_CLEAN;1233;WORKORDER;NOMATCH-REPBY;CNT= 34376;2024-12-01-14.17.23.779000
1899;DB2_0401_WO_Workorder_CLEAN;1233;WORKORDER;NOMATCH-COSTCENTER;CNT= 0;2024-12-01-14.38.59.219000
1901;DB2_0401_WO_Workorder_CLEAN;1233;WORKORDER;MIGRATED;CNT=275795;2024-12-01-14.43.41.653000
1929;DB2_0403_WO_LabTrans_LaborCraftRate_CLEAN;1247;LABTRANS;MIGRATED;CNT=990854;2024-12-01-15.07.59.689000
1932;DB2_0403_WO_LabTrans_LaborCraftRate_CLEAN;1247;LABORCRAFTRATE;MIGRATED;CNT=1125;2024-12-01-15.09.04.391000
1933;DB2_0405_WO_SR_CLEAN;1255;SR;NOMATCH-MAINTENTITY;CNT= 34858;2024-12-01-15.11.08.359000
1937;DB2_0405_WO_SR_CLEAN;1255;SR;NOMATCH-REQBY;CNT= 317589;2024-12-01-15.17.48.975000
1947;DB2_0405_WO_SR_CLEAN;1255;SR;NOMATCH-COSTCENTER;CNT= 0;2024-12-01-15.29.55.622000
1950;DB2_0405_WO_SR_CLEAN;1255;SR;MIGRATED;CNT=430158;2024-12-01-15.34.06.666000
1955;DB2_0406_WO_FailureReport_CLEAN;1259;DEFECT;NOMATCH-WORKORDER;CNT=0;2024-12-01-15.38.17.335000
1956;DB2_0406_WO_FailureReport_CLEAN;1259;DEFECT;NOMATCH-FAILURECLASS;CNT=0;2024-12-01-15.38.17.351000
1957;DB2_0406_WO_FailureReport_CLEAN;1259;DEFECT;NOMATCH-FAILURECODE-PROBLEM;CNT=0;2024-12-01-15.38.17.445000
